label,R,G,B,C,C-R,C-G,C-B,R-G,R-B,G-B
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1701,2613,1473,6063,4362,3450,4590,-912,228,1140
yellow,1701,2613,1473,6063,4362,3450,4590,-912,228,1140
yellow,1701,2613,1473,6063,4362,3450,4590,-912,228,1140
yellow,1701,2613,1473,6063,4362,3450,4590,-912,228,1140
yellow,1701,2613,1473,6063,4362,3450,4590,-912,228,1140
yellow,1701,2613,1473,6063,4362,3450,4590,-912,228,1140
yellow,1701,2613,1473,6063,4362,3450,4590,-912,228,1140
yellow,1701,2613,1473,6063,4362,3450,4590,-912,228,1140
yellow,1701,2613,1473,6063,4362,3450,4590,-912,228,1140
yellow,1701,2613,1473,6063,4362,3450,4590,-912,228,1140
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1911,3373,1994,7820,5909,4447,5826,-1462,-83,1379
yellow,1789,2515,1355,5884,4095,3369,4529,-726,434,1160
yellow,1789,2515,1355,5884,4095,3369,4529,-726,434,1160
yellow,1789,2515,1355,5884,4095,3369,4529,-726,434,1160
yellow,1789,2515,1355,5884,4095,3369,4529,-726,434,1160
yellow,1789,2515,1355,5884,4095,3369,4529,-726,434,1160
yellow,1789,2515,1355,5884,4095,3369,4529,-726,434,1160
yellow,1789,2515,1355,5884,4095,3369,4529,-726,434,1160
yellow,1789,2515,1355,5884,4095,3369,4529,-726,434,1160
yellow,1789,2515,1355,5884,4095,3369,4529,-726,434,1160
yellow,1789,2515,1355,5884,4095,3369,4529,-726,434,1160
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
